feature,importance
www,0.1957777392779809
https,0.158472568778467
has_https,0.1096095586900094
http,0.09677916989445806
com,0.0829243949899479
num_digits,0.07698288564224619
length,0.07161909553558654
num_dots,0.033328905820955886
org,0.02835410363730072
web,0.020593942811689928
firebaseapp,0.011212717522545958
html,0.006907792681171165
io,0.006554561521896341
weeblysite,0.0055853132433481036
app,0.00535225368089687
php,0.0052433343878506245
uk,0.005237214736287747
repl,0.004438148224776678
ipfs,0.004438139022514159
top,0.004413839469900564
dev,0.004232730936733263
cf,0.00419265472914194
wp,0.0032833878680619865
site,0.003075675422303582
login,0.003009484994866712
has_suspicious,0.0030026186417707033
id,0.0027527547352379656
net,0.0025666404237290152
ga,0.002492728689936104
workers,0.002485981388642022
mail,0.0021022191718604324
co,0.0020185279132074745
aol,0.001866145802627441
de,0.0018406753902962454
au,0.0017392158036258411
ru,0.001459335000073091
index,0.0011963799599805087
duckdns,0.0011819390249920196
att,0.0011615586062567575
xyz,0.001133694221631741
pantheonsite,0.0010806085666373523
ai,0.001075014698313922
gov,0.0008281157590837917
page,0.0007961837656114101
fr,0.0007627908153152864
ca,0.0007417510398249148
google,0.0007097112602223009
signin,0.0007031155995666796
edu,0.0006562330895093975
link,0.0005779745116798425
webwave,0.000562068649143951
ac,0.0005281439952431213
godaddysites,0.0005007379717567715
square,0.00046468583295614975
xsph,0.0004020337368924944
it,0.0003487529536334798
amp,0.00033566673164471295
docs,0.00033056882191425025
weebly,0.00030963445799091796
gq,0.00030008749268932905
email,0.00028809734260723763
br,0.0002735938807121253
info,0.00026281852337056184
gateway,0.00025988221832855745
gr,0.00023319655089260686
ml,0.00022237802237457443
business,0.00021932194664251936
public,0.00021735753985233186
view,0.0002049019104510219
mil,0.00019652330327490848
ws,0.00019425114780921451
go,0.00018736894448450117
gob,0.00018094414827560308
online,0.0001468056948926285
github,0.00013338390220715484
blogspot,0.00013044912014428955
core,0.00012843164454697312
false,0.00012676987551349394
43,0.0001259988042470251
presentation,0.00012593685038392313
me,0.00011833097752073817
us,0.00011638645655979291
k12,0.00011056519243387296
il,0.0001068679905598551
eu,9.913992646968936e-05
jp,9.630071353934483e-05
kr,9.483038971954953e-05
amazonaws,9.35931546607882e-05
city,9.284247627622064e-05
tw1,9.22433814167138e-05
home,8.838591538947039e-05
nz,8.767841181563614e-05
admin,8.098758241144573e-05
fi,8.03505454870539e-05
